Integrand,lower bound of integral,upper bound of integral,Value of Integral,W Term 1,P Term 1,P Term 2
x**2*(x - 1)**2/4,-1,1,4/15,phijm1o2,phijm1o2
-x*(x - 1)**2*(x + 1)/2,-1,1,2/15,phij,phijm1o2
x**2*(x - 1)*(x + 1)/4,-1,1,-1/15,phijp1o2,phijm1o2
-x*(x - 1)**2*(x + 1)/2,-1,1,2/15,phijm1o2,phij
(x - 1)**2*(x + 1)**2,-1,1,16/15,phij,phij
-x*(x - 1)*(x + 1)**2/2,-1,1,2/15,phijp1o2,phij
x**2*(x - 1)*(x + 1)/4,-1,1,-1/15,phijm1o2,phijp1o2
-x*(x - 1)*(x + 1)**2/2,-1,1,2/15,phij,phijp1o2
x**2*(x + 1)**2/4,-1,1,4/15,phijp1o2,phijp1o2
