Integrand,lower bound of integral,upper bound of integral,Value of Integral,W Term 1,P Term 1
x*(-x/2 + 1/2)*(x - 1)/2,-1,1,1/3,wjm1o2p,phijm1o2
x*(x/2 + 1/2)*(x - 1)/2,-1,1,0,wjp1o2m,phijm1o2
-(-x/2 + 1/2)*(x - 1)*(x + 1),-1,1,2/3,wjm1o2p,phij
-(x/2 + 1/2)*(x - 1)*(x + 1),-1,1,2/3,wjp1o2m,phij
x*(-x/2 + 1/2)*(x + 1)/2,-1,1,0,wjm1o2p,phijp1o2
x*(x/2 + 1/2)*(x + 1)/2,-1,1,1/3,wjp1o2m,phijp1o2
Integrand,lower bound of integral,upper bound of integral,Value of Integral,W Term 1,P Term 1
x*(-x/2 + 1/2)*(x - 1)/2,-1,1,1/3,wjm1o2p,phijm1o2
x*(x/2 + 1/2)*(x - 1)/2,-1,1,0,wjp1o2m,phijm1o2
-(-x/2 + 1/2)*(x - 1)*(x + 1),-1,1,2/3,wjm1o2p,phij
-(x/2 + 1/2)*(x - 1)*(x + 1),-1,1,2/3,wjp1o2m,phij
x*(-x/2 + 1/2)*(x + 1)/2,-1,1,0,wjm1o2p,phijp1o2
x*(x/2 + 1/2)*(x + 1)/2,-1,1,1/3,wjp1o2m,phijp1o2
